S1 Real/Imag g,S1  0-Z:0-Z,S2 Real/Imag g,S2 0-Z:0-Z
(0.0016071009843115962+0j),(-0.00022112042669905242-0.0004333250602906549j),(0.0016071009843115962+0j),(0.00030689014718791874+0.0003189761165768054j)
(0.0016166670615991652+0j),(-0.00023774954619357313-0.0003643774227529615j),(0.0016166670615991652+0j),(0.00021719523859216463+8.529825203644295e-05j)
(0.0016262331388867343+0j),(-0.00040676252587666184-0.00023822571977451018j),(0.0016262331388867343+0j),(0.0005521698004744032+6.830152767178845e-05j)
(0.0016357992161743031+0j),(-0.0004517473998463188-0.000257148806033291j),(0.0016357992161743031+0j),(0.00028246512425619217+0.0008358417517290658j)
(0.0016453652934618722+0j),(0.0002572896878158492-0.0007360540048392332j),(0.0016453652934618722+0j),(-5.50291269570898e-05+0.0005521168392263061j)
(0.0016549313707494412+0j),(-8.464177917918339e-05-0.00028760901991290523j),(0.0016549313707494412+0j),(0.0004614422192946228-0.0003100109318209097j)
(0.0016644974480370103+0j),(-0.00013589451753431123-0.0004182434773186647j),(0.0016644974480370103+0j),(0.00045093033689805367+8.58398680616114e-05j)
(0.0016740635253245793+0j),(-0.0002447781931872668-0.00011167659419335246j),(0.0016740635253245793+0j),(0.00036171679651051536-0.0002525289662067466j)
(0.0016836296026121484+0j),(-0.00022178774984118736-0.00010984264205626373j),(0.0016836296026121484+0j),(0.00019963549314843822-0.0002404004066576308j)
(0.0016931956798997175+0j),(-0.00011199418565715789-0.00039225135809434176j),(0.0016931956798997175+0j),(0.00019714261536222255+0.00014745701134920964j)
(0.0017027617571872865+0j),(-0.00030253053259718523+4.331762292663104e-05j),(0.0017027617571872865+0j),(0.0003008780349318752-0.00028206027693912706j)
(0.0017123278344748554+0j),(-6.510095954435364e-05-0.00039972856284405936j),(0.0017123278344748554+0j),(7.960525189896572e-05+3.071621763740338e-05j)
(0.0017218939117624244+0j),(-0.00027300067468097544-0.0001987787132907197j),(0.0017218939117624244+0j),(2.904075353546802e-05+0.00040478096983527544j)
(0.0017314599890499935+0j),(-0.00018679501098971656-0.0005266264579155007j),(0.0017314599890499935+0j),(0.0003715875069255076+0.00023920897144423354j)
(0.0017410260663375625+0j),(-7.64670381551794e-05-0.00037886507858955705j),(0.0017410260663375625+0j),(0.00034173204511378616+3.546169579429772e-05j)
